job_id,title,role_family,company,location,state,remote,is_remote,posted_date,experience_level,salary_min,salary_max,salary_mid,skills,description
J20260205-00000,Senior React Software Engineer,Software/Platform,ServiceNow,"Raleigh, NC",NC,True,True,2025-12-27,Senior,117595,207649,162622,CI/CD|CSS|Git|HTML|JavaScript|OOP|REST APIs|React|System Design|TypeScript|Unit Testing,"We are hiring a Senior React Software Engineer to build and scale production systems. Key technologies include CI/CD, CSS, Git, HTML, JavaScript, OOP. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00001,Java Software Engineer (Observability),Software/Platform,DoorDash,"Dallas, TX",TX,False,False,2026-01-15,Mid,96338,166763,131550,AWS|Azure|CI/CD|Docker|GCP|Git|Java|Kubernetes|Maven/Gradle|Microservices|MongoDB|MySQL|OOP|PostgreSQL|REST APIs|Redis|Spring Boot|Unit Testing,"We are hiring a Java Software Engineer (Observability) to build and scale production systems. Key technologies include AWS, Azure, CI/CD, Docker, GCP, Git. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00002,Senior MLOps Engineer,ML/AI,Block,"Alpharetta, GA",GA,True,True,2026-02-01,Senior,162327,244977,203652,AWS|Azure|Docker|Experiment Tracking|GCP|Infrastructure as Code|Kubernetes|MLOps|Model Monitoring|Observability|SRE|Terraform,"We are hiring a Senior MLOps Engineer to build and scale production systems. Key technologies include AWS, Azure, Docker, Experiment Tracking, GCP, Infrastructure as Code. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00003,Lead AWS Site Reliability Engineer (Distributed Systems),DevOps/SRE,Microsoft,"Seattle, WA",WA,True,True,2026-01-01,Senior,140431,223502,181966,AWS|Azure|Docker|GCP|Infrastructure as Code|Kubernetes|MongoDB|Observability|PostgreSQL|Redis|Terraform,"We are hiring a Lead AWS Site Reliability Engineer (Distributed Systems) to build and scale production systems. Key technologies include AWS, Azure, Docker, GCP, Infrastructure as Code, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00004,Senior Analytics Engineer (Security),Security,ServiceNow,"San Jose, CA",CA,False,False,2026-01-10,Senior,189335,230764,210049,Apache Airflow|AppSec|Data Modeling|ETL|IAM|Infrastructure as Code|MySQL|Orchestration|Redis|Redshift,"We are hiring a Senior Analytics Engineer (Security) to build and scale production systems. Key technologies include Apache Airflow, AppSec, Data Modeling, ETL, IAM, Infrastructure as Code. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00005,Lead GCP Security Engineer (Payments),Security,Adobe,"New York, NY",NY,True,True,2025-12-25,Senior,152646,222332,187489,AWS|AppSec|Azure|Docker|GCP|IAM|Infrastructure as Code|Kubernetes|Network Security|OWASP|Observability|SRE|Terraform|Threat Modeling,"We are hiring a Lead GCP Security Engineer (Payments) to build and scale production systems. Key technologies include AWS, AppSec, Azure, Docker, GCP, IAM. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00006,Full Stack Engineer,Software/Platform,Workday,"Austin, TX",TX,False,False,2026-01-30,Mid,129086,157081,143083,AWS|Azure|CI/CD|Docker|GCP|Git|Kubernetes|MongoDB|MySQL|OOP|PostgreSQL|REST APIs|Redis|System Design|Unit Testing,"We are hiring a Full Stack Engineer to build and scale production systems. Key technologies include AWS, Azure, CI/CD, Docker, GCP, Git. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00007,Security Engineer (Web),Security,ServiceNow,"Raleigh, NC",NC,True,True,2026-01-31,Mid,152323,208699,180511,CSS|GCP|Git|HTML|IAM|Kubernetes|OOP|OWASP|React|System Design|Terraform,"We are hiring a Security Engineer (Web) to build and scale production systems. Key technologies include CSS, GCP, Git, HTML, IAM, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00008,Lead Node.js Automation Engineer,Software/Platform,Workday,"Boston, MA",MA,True,True,2026-01-18,Senior,146506,196146,171326,CSS|Express.js|Git|HTML|JavaScript|MySQL|Node.js|OOP|PostgreSQL|REST APIs|React|TypeScript|Unit Testing,"We are hiring a Lead Node.js Automation Engineer to build and scale production systems. Key technologies include CSS, Express.js, Git, HTML, JavaScript, MySQL. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00009,Associate Full Stack Engineer (Warehouse),Software/Platform,Shopify,"Austin, TX",TX,False,False,2026-01-27,Entry,102648,149259,125953,AWS|Azure|CI/CD|GCP|Kubernetes|MySQL|OOP|PostgreSQL|REST APIs|Redis|System Design|Unit Testing,"We are hiring a Associate Full Stack Engineer (Warehouse) to build and scale production systems. Key technologies include AWS, Azure, CI/CD, GCP, Kubernetes, MySQL. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00010,Senior AWS Security Engineer,Security,Microsoft,"San Jose, CA",CA,False,False,2026-02-01,Senior,153907,220008,186957,AWS|AppSec|Docker|GCP|Infrastructure as Code|Kubernetes|OWASP|Observability|SRE|Threat Modeling,"We are hiring a Senior AWS Security Engineer to build and scale production systems. Key technologies include AWS, AppSec, Docker, GCP, Infrastructure as Code, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00011,Staff LLM DevOps Engineer (Observability),DevOps/SRE,Capital One,"Austin, TX",TX,True,True,2026-01-25,Staff,187772,263862,225817,AWS|Azure|Experiment Tracking|Feature Engineering|GCP|Infrastructure as Code|Kubernetes|Machine Learning|Model Monitoring|MongoDB|MySQL|NLP|PyTorch|Redis|SRE|Terraform|Transformers,"We are hiring a Staff LLM DevOps Engineer (Observability) to build and scale production systems. Key technologies include AWS, Azure, Experiment Tracking, Feature Engineering, GCP, Infrastructure as Code. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00012,React Frontend Engineer (Data Platform),Data,Netflix,"San Francisco, CA",CA,False,False,2026-01-06,Mid,111371,188655,150013,CI/CD|CSS|Git|HTML|JavaScript|OOP|REST APIs|React|System Design|TypeScript|Unit Testing,"We are hiring a React Frontend Engineer (Data Platform) to build and scale production systems. Key technologies include CI/CD, CSS, Git, HTML, JavaScript, OOP. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00013,Staff Security Engineer,Security,Google,"Dallas, TX",TX,True,True,2026-01-19,Staff,143684,256556,200120,AWS|AppSec|Azure|Docker|GCP|IAM|Infrastructure as Code|Kubernetes|Network Security|OWASP|Observability|SRE|Terraform|Threat Modeling,"We are hiring a Staff Security Engineer to build and scale production systems. Key technologies include AWS, AppSec, Azure, Docker, GCP, IAM. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00014,Staff Databricks Machine Learning Engineer (Warehouse),Data,Netflix,"New York, NY",NY,False,False,2026-02-04,Staff,135915,245478,190696,Apache Spark|Azure|Data Warehousing|ETL|Feature Engineering|GCP|Machine Learning|Model Evaluation|PyTorch|TensorFlow,"We are hiring a Staff Databricks Machine Learning Engineer (Warehouse) to build and scale production systems. Key technologies include Apache Spark, Azure, Data Warehousing, ETL, Feature Engineering, GCP. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00015,Senior LLM Backend Engineer,Software/Platform,Google,"Boston, MA",MA,False,False,2026-01-31,Senior,116945,202037,159491,Deep Learning|Experiment Tracking|Feature Engineering|LLMs|MLOps|Machine Learning|Model Evaluation|Model Monitoring|PyTorch|TensorFlow|Transformers,"We are hiring a Senior LLM Backend Engineer to build and scale production systems. Key technologies include Deep Learning, Experiment Tracking, Feature Engineering, LLMs, MLOps, Machine Learning. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00016,Senior Kubernetes Automation Engineer (Security),Security,Salesforce,"New York, NY",NY,True,True,2025-12-27,Senior,194368,224784,209576,AWS|AppSec|Azure|GCP|Infrastructure as Code|Kubernetes|Network Security|OWASP|Observability|SRE|Terraform|Threat Modeling,"We are hiring a Senior Kubernetes Automation Engineer (Security) to build and scale production systems. Key technologies include AWS, AppSec, Azure, GCP, Infrastructure as Code, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00017,Data Engineer,Data,Stripe,"San Francisco, CA",CA,False,False,2026-01-05,Mid,102014,184327,143170,AWS|Azure|Data Modeling|ETL|GCP|Kubernetes|MongoDB|MySQL|Orchestration|PostgreSQL|SQL|Snowflake,"We are hiring a Data Engineer to build and scale production systems. Key technologies include AWS, Azure, Data Modeling, ETL, GCP, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00018,MLOps Engineer (Data Platform),Data,ServiceNow,"Dallas, TX",TX,True,True,2026-02-03,Mid,128122,176008,152065,AWS|Azure|Docker|Experiment Tracking|GCP|Infrastructure as Code|Kubernetes|MLOps|Model Monitoring|Observability|SRE|Terraform,"We are hiring a MLOps Engineer (Data Platform) to build and scale production systems. Key technologies include AWS, Azure, Docker, Experiment Tracking, GCP, Infrastructure as Code. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00019,Backend Engineer (ETL),Software/Platform,Amazon,"San Jose, CA",CA,False,False,2026-01-22,Mid,92361,182348,137354,Azure|BigQuery|Data Modeling|ETL|GCP|Kubernetes|MongoDB|Orchestration|PostgreSQL|Redshift|SQL|Snowflake,"We are hiring a Backend Engineer (ETL) to build and scale production systems. Key technologies include Azure, BigQuery, Data Modeling, ETL, GCP, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
